LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,2,7,16,9,36,2,38,4,22,26,21,28,18
Hindi,36,15,45,37,55,52,56,43,60,56,51,62,61
Chinese,27,53,10,23,57,37,60,25,55,51,60,62,62
Russian,40,44,21,31,59,43,60,33,41,44,55,60,57
Arabic,33,57,35,34,41,32,58,35,60,53,50,62,58
French,5,9,18,18,34,3,32,4,29,20,18,35,14
Nepali,39,20,55,50,54,55,50,55,59,55,53,62,59
Japanese,24,47,23,35,56,23,61,21,56,49,59,62,59
Ukrainian,42,54,38,48,58,41,58,45,28,50,57,62,45
Greek,50,39,39,47,62,33,59,32,49,29,45,56,37
Turkish,8,21,24,27,52,17,44,14,39,20,17,35,35
Swahili,14,26,22,40,32,27,28,14,16,53,41,21,17
Thai,39,55,28,46,62,40,60,22,60,53,61,62,10
