LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,0,1,3,0,1,0,1,1,1,4,0
Hindi,2,0,3,4,14,6,3,1,4,7,7,13,4
Chinese,3,8,1,4,26,6,25,0,3,11,18,15,14
Russian,0,1,2,0,13,2,8,0,2,2,1,14,2
Arabic,0,9,9,2,11,2,17,2,3,7,13,19,10
French,0,1,0,1,7,0,1,0,1,2,2,5,2
Nepali,2,1,5,7,16,10,0,4,10,13,13,21,14
Japanese,1,2,1,1,14,0,14,0,3,5,10,20,2
Ukrainian,1,2,2,0,13,1,11,0,0,4,2,15,1
Greek,1,1,0,1,12,2,6,1,1,1,4,12,3
Turkish,3,4,2,3,16,4,8,2,1,9,0,10,4
Swahili,9,1,3,12,9,3,3,2,2,20,13,6,2
Thai,2,8,7,3,15,6,19,2,11,8,36,25,0
