LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,1,1,1,16,0,10,0,4,4,1,8,1
Hindi,61,46,62,62,62,62,51,62,59,60,58,62,60
Chinese,52,59,16,60,62,52,61,35,61,59,61,62,61
Russian,59,60,61,26,62,51,61,60,51,58,61,62,61
Arabic,61,62,62,61,58,62,61,60,60,60,60,61,61
French,1,5,6,4,26,0,18,1,10,9,10,13,5
Nepali,61,57,61,61,62,62,59,62,59,57,61,61,61
Japanese,44,57,53,62,61,54,61,7,61,59,60,61,61
Ukrainian,59,62,60,58,60,58,60,62,27,58,61,61,61
Greek,62,60,60,59,57,60,60,62,60,22,61,61,62
Turkish,48,48,49,46,61,38,47,52,57,57,25,42,51
Swahili,35,16,21,48,32,11,22,8,13,47,43,13,12
Thai,62,62,62,62,62,62,61,57,61,61,61,62,41
