LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,2,1,3,17,1,13,0,3,5,2,10,2
Hindi,51,29,56,57,59,45,55,58,60,59,57,61,62
Chinese,33,46,9,47,60,29,56,12,54,56,59,59,58
Russian,31,46,25,18,53,35,59,40,33,41,51,61,60
Arabic,30,60,27,33,41,37,58,44,59,57,45,60,61
French,1,8,7,4,24,2,15,1,14,8,4,13,11
Nepali,55,46,59,59,61,57,59,59,61,58,61,61,61
Japanese,25,48,19,31,61,19,57,5,60,47,51,57,36
Ukrainian,39,55,41,39,54,42,58,53,39,49,54,62,61
Greek,60,55,57,55,57,53,54,61,61,23,54,59,62
Turkish,23,41,36,29,53,23,35,15,34,49,18,27,33
Swahili,59,45,52,53,54,50,48,25,50,45,52,30,52
Thai,60,53,59,62,58,61,58,56,61,61,60,62,62
